METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"Deltona-Daytona Beach-Ormond Beach, FL",-8807.24,-853.85,-241.44,453.30,6173.25,3117.05,6205.93,10663.74,11852.25,6831.60,8289.80,233957,235616,237526,248938,255351,260002,259699,263916,291531,296235,300078,267246,261297,262985,270250,277288,281723,282983,283239,306672,316477,319919,265708,258523,261602,269966,276387,280537,281523,281776,305274,313104,318299,1538,2774,1383,284,901,1186,1460,1463,1398,3373,1620,505146,510712,520126,533145,547239,555227,554733,560915,576541,589211,602919,10710.39135,9783.187697,11388.82322,8604.189599,13753.99925,10144.71027,14328.55022,14598.04229,10493.9957,8465.568252,10958.95504,NA,-5949,1688,7265,7038,4435,1260,256,11716.5,9805,3442,NA,-2.28%,0.64%,2.69%,2.54%,1.57%,0.45%,0.09%,3.82%,3.10%,1.08%,-3.30%,-0.33%,-0.09%,0.17%,2.23%,1.11%,2.19%,3.76%,3.86%,2.16%,2.59%,235,129,130,117,71,103,102,67,69,118,99,0.543982749,0.552141527,0.553107526,0.533749406,0.501171054,0.506583014,0.506716677,0.510551037,0.522603803,0.539969422,0.535713322,868,918,944,958,988,1046,1048,1123,1161,1438,1516,130000,131500,141400,151000,171900,184300,199400,217000,255900,320200,355000,28839,41425,42855,36926,30774,29849,31804,34545,28022,25883,30994
"Idaho Falls, ID",432.68,186.63,-811.19,-198.75,571.45,1188.55,1315.12,1321.53,2310.11,1490.50,1214.71,36076,36806,36420,36702,38464,41118,40224,40776,42905,43345,45245,39658,39600,39961,40087,41042,42373,43166,43457,45696,46315,47563,39560,39223,39961,39625,40862,42156,42527,43223,45359,46315,47563,98,377,0,462,180,217,639,234,337,0,0,77997,78920,78538,80581,82336,85158,85417,87868,94704,96632,98248,2012.262383,726.9853719,865.5334618,846.8136436,996.4288093,162.5205905,1530.398279,1647.358691,2494.154726,2184.045411,1209.960884,NA,-58,361,126,955,1331,793,291,1119.5,619,1248,NA,-0.15%,0.90%,0.31%,2.33%,3.14%,1.84%,0.67%,2.45%,1.34%,2.62%,1.09%,0.47%,-2.03%,-0.50%,1.39%,2.80%,3.05%,3.04%,5.06%,3.22%,2.55%,74,96,205,152,94,63,79,82,39,84,100,0.484466673,0.425641895,0.448832882,0.3829193,0.328419635,0.500108972,0.383371673,0.457549818,0.341059351,0.346239017,0.463690437,665,696,710,776,731,796,805,798,922,1039,1186,153400,151400,155800,165200,165400,173900,205400,212700,324700,369600,386100,1135,900,780,840,804,NA,745,1192,839,843,NA
"Bellingham, WA",1577.18,1522.23,285.65,103.65,1385.78,3767.47,2055.76,4706.13,3296.13,4631.67,2544.46,79029,78330,81973,80023,84011,88636,87080,88794,92219,94813,93449,84458,83892,86746,85505,88617,91696,92745,93605,96583,99331,99836,84259,83420,85786,85308,88216,90524,92119,93375,94738,98320,98666,199,472,960,197,401,1172,626,230,1845,1011,1170,171052,171589,173093,177265,180936,185664,183384,187191,188394,191141,191214,2719.742861,2567.366444,0,1321.425426,1324.031368,1165.402242,2610.244977,4616.599013,1146.838158,3236.214064,2941.912038,NA,-566,2854,-1241,3112,3079,1049,860,1489,2748,505,NA,-0.67%,3.29%,-1.45%,3.51%,3.36%,1.13%,0.92%,1.54%,2.77%,0.51%,1.87%,1.81%,0.33%,0.12%,1.56%,4.11%,2.22%,5.03%,3.41%,4.66%,2.55%,53,52,109,121,90,38,101,44,82,38,101,0.526999362,0.546170097,0.580396619,0.522415812,0.509639858,0.562790287,0.495750371,0.506147476,0.503803587,0.577707625,0.595477969,878,894,936,930,944,1078,1110,1134,1347,1426,1497,255500,278600,273500,293700,313500,355500,362500,398300,506200,601200,611200,6831,7320,5853,8183,5518,5067,5120,NA,5166,4426,5293
"Orlando-Kissimmee-Sanford, FL",-18028.69,-17623.42,-6879.65,-3111.21,4070.88,-426.09,5707.33,5898.80,14638.63,21397.76,19929.11,572843,572450,593276,620475,636060,636617,637433,639094,700736,735240,746137,648327,657009,665271,684655,696878,710317,715010,720221,754370,775861,790461,646008,654916,662434,681427,693750,707484,712414,717222,751807,773984,788820,2319,2093,2837,3228,3128,2833,2596,2999,2563,1877,1641,1324786,1352556,1383898,1417429,1444709,1480764,1477938,1495501,1523616,1555626,1577887,25232.53688,34495.31509,31061.47162,25540.04137,28531.31134,36771.48717,46492.07712,49592.48067,29212.21567,22266.43696,24100.24437,NA,8682,8262,19384,12223,13439,4693,5211,17074.5,21491,14600,NA,1.32%,1.24%,2.83%,1.75%,1.89%,0.66%,0.72%,2.26%,2.77%,1.85%,-2.78%,-2.68%,-1.03%,-0.45%,0.58%,-0.06%,0.80%,0.82%,1.94%,2.76%,2.52%,217,228,161,148,117,137,135,143,127,100,102,0.555096542,0.541922471,0.543127015,0.535094629,0.512011811,0.515084987,0.527036208,0.537917118,0.568492473,0.576775621,0.579936667,980,991,1035,1070,1118,1151,1217,1303,1420,1611,1799,143200,151700,162700,176100,201600,219000,242500,255500,303300,361100,383100,71649,67663,77560,64271,66663,64552,70153,80195,55247,33235,32667
"Reading, PA",-436.13,1490.13,-578.35,-293.93,-269.09,-840.75,3812.05,5773.74,5611.60,6607.44,4282.84,151290,153270,152907,151792,150400,155155,157006,154697,164312,162184,163307,164245,163365,164502,164547,164239,166461,167004,166459,170977,171300,171658,162346,162112,163426,163538,162393,165252,166236,164503,170069,169613,170866,1899,1253,1076,1009,1846,1209,768,1956,908,1687,792,334681,335318,336939,338652,337391,340425,329940,329679,338253,340718,343073,2909.874024,2541.550932,2185.999724,3678.544618,4003.72784,1427.142071,4944.525574,7471.319347,3002.85386,5644.992288,3501.415472,NA,-880,1137,45,-308,2222,543,-545,2259,323,358,NA,-0.54%,0.69%,0.03%,-0.19%,1.33%,0.33%,-0.33%,1.32%,0.19%,0.21%,-0.27%,0.91%,-0.35%,-0.18%,-0.16%,-0.51%,2.28%,3.47%,3.28%,3.86%,2.49%,112,79,136,137,147,154,100,70,90,69,103,0.501167018,0.503883255,0.525904246,0.495876575,0.474852992,0.464324714,0.48976371,0.395887874,0.503327389,0.512796752,0.519791233,817,826,864,865,904,864,909,936,1031,1109,1219,166500,166900,168600,171100,174800,173700,186000,188100,220900,248200,261200,261,796,453,416,835,752,324,1380,663,350,288
"Yuba City, CA",-1266.00,-991.65,168.86,47.16,628.08,1135.85,3067.48,2853.55,3698.06,3014.07,1615.08,56100,56807,57366,58261,59044,58173,58180,59867,61597,63162,62577,60535,60959,61284,61841,62470,62395,62236,63176,63185,64932,65878,60171,60639,60715,61291,61824,62141,61618,62404,62630,64888,65368,364,320,569,550,646,254,618,772,555,44,510,129080,129709,132563,131468,133049,134451,134337,133724,140374,142027,142567,0,0,618.6325062,156.2912813,434.1672782,2090.670704,3425.217528,2283.046112,1572.582407,1506.642311,1216.410723,NA,424,325,557,629,-75,-159,940,4.5,1747,946,NA,0.70%,0.53%,0.90%,1.01%,-0.12%,-0.26%,1.49%,0.01%,2.69%,1.44%,-2.09%,-1.63%,0.28%,0.08%,1.01%,1.82%,4.93%,4.52%,5.85%,4.64%,2.45%,181,188,114,125,103,84,51,57,23,40,104,0.553790425,0.608133087,0.449131514,0.565576492,0.528935393,0.45432651,0.441221832,0.505567452,0.501267086,0.508380609,0.486306274,862,942,886,902,915,1018,942,1087,1147,1309,1357,169000,174200,187900,221700,254000,266300,295000,300400,366600,431700,398200,797,685,645,591,143,530,901,510,NA,NA,388
"Columbus, OH",-17853.87,-10688.44,-5973.26,2006.59,3590.82,5926.64,28710.12,21665.68,20223.13,17857.69,21619.87,706188,712003,727855,734624,742876,751668,764624,778397,818321,825402,840524,780619,786053,794163,798958,803116,813824,821331,831624,864881,878213,887705,768795,772037,782636,784740,793893,804950,810749,822941,859203,871650,882588,11824,14016,11527,14218,9223,8874,10582,8683,5678,6563,5117,1466629,1490224,1512360,1536053,1552435,1585317,1559877,1575022,1605749,1620914,1631327,8994.023998,13090.8624,11823.79993,14658.46377,16632.39897,20595.46937,34860.87779,25990.31133,19227.69917,21748.18556,20626.3525,NA,5434,8110,4795,4158,10708,7507,10293,16628.5,13332,9492,NA,0.69%,1.02%,0.60%,0.52%,1.32%,0.91%,1.24%,1.92%,1.52%,1.07%,-2.29%,-1.36%,-0.75%,0.25%,0.45%,0.73%,3.50%,2.61%,2.34%,2.03%,2.44%,194,175,155,114,124,116,69,96,112,121,105,0.451821781,0.431229841,0.435657743,0.434355257,0.413386911,0.420870038,0.405034886,0.393756698,0.403794137,0.450342456,0.453010646,791,804,847,869,877,916,947,965,1078,1186,1254,157300,154800,160800,166600,172200,182300,196700,212600,254700,289200,312900,4306,4335,5548,5413,6904,6281,6233,4030,8477,5994,6668
"Eau Claire, WI",1815.45,1158.81,1616.64,-32.65,1851.50,1097.49,-556.00,-366.05,2363.44,1838.20,1520.55,60969,60637,61865,60327,63150,63353,62865,63219,65635,60824,60131,63060,63551,64277,64765,64881,66311,67069,67880,67909,62173,62608,62202,63248,63617,63376,64456,66165,66860,66746,67535,62027,61617,858,303,660,1389,425,146,209,1134,374,146,991,126216,126305,129148,128620,129385,131924,125776,125137,128679,116085,114103,0,702.8202241,262.2742973,0,0,706.5159353,281.6646983,0,934.9421566,0,0,NA,491,726,488,116,1430,758,811,14.5,-5736,435,NA,0.77%,1.13%,0.75%,0.18%,2.16%,1.13%,1.19%,0.02%,-9.23%,0.69%,2.88%,1.82%,2.52%,-0.05%,2.85%,1.66%,-0.83%,-0.54%,3.48%,2.96%,2.43%,34,50,45,130,56,89,185,187,80,90,106,0.479600675,0.440096038,0.434575603,0.478025864,0.441150752,0.450126491,0.394493709,0.407115806,0.39999113,0.353343073,0.36882494,709,709,750,763,786,767,793,817,861,962,983,148700,149600,150400,151500,160900,168900,171900,188700,223000,241600,265700,2297,2185,2189,NA,2160,2107,2390,2162,2282,NA,NA
"Detroit-Warren-Dearborn, MI",10177.73,16803.91,30175.74,34776.07,29675.83,40412.69,49491.87,51281.77,72287.00,58897.86,44551.47,1613046,1625089,1623193,1641545,1656682,1673231,1677127,1686714,1725125,1726845,1735866,1831213,1836995,1834038,1842464,1848490,1855013,1860813,1868541,1857944,1868571,1882808,1756560,1752008,1749067,1756144,1778390,1782542,1788775,1798687,1812258,1824869,1842588,74653,84987,84971,86320,70100,72471,72038,69854,45686,43702,40220,3400113,3407862,3420923,3436060,3439547,3455849,3426108,3425977,3470318,3469882,3463981,69561.36235,59493.77223,71323.89638,64093.16012,65285.46044,62916.32021,73603.35503,75161.02238,69679.76068,67218.67432,61409.68614,NA,5782,-2957,8426,6026,6523,5800,7728,-5298.5,10627,14237,NA,0.31%,-0.16%,0.46%,0.33%,0.35%,0.31%,0.41%,-0.29%,0.57%,0.76%,0.56%,0.91%,1.65%,1.89%,1.61%,2.18%,2.66%,2.74%,3.89%,3.15%,2.37%,85,78,63,72,87,78,92,92,67,86,107,0.495785469,0.48831695,0.481314345,0.478041424,0.465325783,0.450593384,0.451603801,0.457488283,0.460786634,0.474890034,0.481262351,813,829,853,871,886,898,927,962,1051,1121,1183,116200,120500,136400,151000,160700,171600,180300,191800,220900,245500,251200,16119,16566,22904,16842,14865,14884,16033,12850,14082,10233,13216
"Richmond, VA",-7221.53,-1416.81,911.77,5184.86,9821.32,6007.10,15527.42,15824.00,13110.34,17493.85,11799.71,391789,399207,403784,411773,415922,412453,426038,427896,455349,469091,470546,429495,432452,435919,439861,443339,443996,453499,457931,482780,491760,499902,427370,429949,433058,438447,440820,441418,450006,455463,480797,490074,497026,2125,2503,2861,1414,2519,2578,3493,2468,1983,1686,2876,842170,858036,868982,881183,891415,906761,895509,904476,925506,934670,946493,8352.400408,8918.89449,9520.538982,10733.52935,13260.21151,13666.14515,17327.16144,20948.76086,15038.93826,14306.95511,14049.91355,NA,2957,3467,3942,3478,657,9503,4432,12424.5,8980,8142,NA,0.68%,0.80%,0.90%,0.78%,0.15%,2.10%,0.97%,2.57%,1.83%,1.63%,-1.68%,-0.33%,0.21%,1.18%,2.22%,1.35%,3.42%,3.46%,2.72%,3.56%,2.36%,171,130,117,91,72,95,72,72,101,76,108,0.479680516,0.482584842,0.47205522,0.472525891,0.47945488,0.464919025,0.463472333,0.491238237,0.503204867,0.500516357,0.498777154,939,959,1011,1019,1020,1060,1100,1155,1202,1298,1491,207400,204800,213900,219700,227200,237900,246100,251200,299600,336500,357600,7082,2909,2775,2408,4205,4123,1886,1744,3345,1497,2448
"Racine, WI",-1750.96,-394.38,1283.31,-570.58,464.97,748.61,4155.17,4129.94,2625.36,1544.00,1966.60,75752,72057,75876,74960,75921,77473,76808,78905,79068,78571,79066,81450,80054,80424,81259,81191,82196,81503,82576,82902,83548,84423,81450,79657,80175,81259,80418,80916,80920,81917,82446,83136,84423,0,397,249,0,773,1280,583,659,456,412,0,154821,157097,158325,157161,156969,158199,153016,153527,154058,155578,156871,151.8437581,3431.209895,1703.346321,1886.110706,1110.404603,302.8224953,4215.968616,3044.463243,1952.344945,2076.623021,3209.810944,NA,-1396,370,835,-68,1005,-693,1073,163,646,875,NA,-1.74%,0.46%,1.03%,-0.08%,1.22%,-0.85%,1.30%,0.20%,0.77%,1.04%,-2.15%,-0.49%,1.60%,-0.70%,0.57%,0.91%,5.10%,5.00%,3.17%,1.85%,2.33%,185,134,64,160,118,108,43,45,91,128,109,0.483456728,0.481142421,0.440273181,0.525807305,0.446950741,0.435648703,0.527379754,0.45018109,0.427777352,0.344422166,0.432130545,734,771,806,800,831,825,847,833,908,980,1038,162100,160600,164400,162000,169100,169500,187300,200800,221000,238200,253200,1046,1902,1456,1296,1054,713,NA,NA,1750,1132,NA
"Colorado Springs, CO",4101.82,4303.97,4107.97,4150.92,7930.62,14333.09,13253.93,15269.93,13025.35,13746.69,7435.70,247948,250601,255330,261436,267620,268123,271696,275779,294813,306164,311528,263548,267376,271549,277280,280755,279161,284406,288521,305736,315298,323007,262814,266640,270527,276378,279897,278581,283401,288161,304765,313373,322413,734,736,1022,902,858,580,1005,360,971,1925,594,529021,538201,543750,553766,568290,577987,574361,582625,595182,600194,605457,6257.545227,7440.873597,6227.109913,5734.397535,6501.545397,10842.79705,10832.50284,13202.83849,7844.475718,5378.563958,2613.619145,NA,3828,4173,5731,3475,-1594,5245,4115,8607.5,9562,7709,NA,1.43%,1.54%,2.07%,1.24%,-0.57%,1.84%,1.43%,2.82%,3.03%,2.39%,1.56%,1.61%,1.51%,1.50%,2.82%,5.13%,4.66%,5.29%,4.26%,4.36%,2.30%,60,56,69,83,57,27,53,39,54,54,110,0.502051053,0.503413528,0.495752059,0.494209461,0.483440895,0.523918604,0.503334932,0.496899032,0.531163657,0.520364074,0.517285004,899,976,978,1049,1057,1146,1188,1251,1465,1575,1706,216000,211100,225200,234100,249400,274100,290100,324100,397900,465800,472600,6134,4932,3791,4434,4848,5499,3909,4649,3989,3332,4147
"Naples-Marco Island, FL",-1698.05,963.81,1706.17,7337.03,3096.32,858.86,4726.71,7388.74,973.86,6229.78,4135.73,123715,130614,133163,134906,139523,144355,144170,140578,163942,166203,166193,143541,145966,148333,147473,153510,158491,156683,155115,177426,177654,179904,142604,145747,147611,145767,152600,158283,156172,154849,177136,177344,178916,937,219,722,1706,910,208,511,266,290,310,988,279509,286800,296887,305029,312286,318998,321876,327901,330154,340487,346544,10481.14477,9110.578237,9043.825186,10907.36263,8759.207295,7208.677817,9066.863456,13934.13461,5686.441192,8629.17608,8141.980592,NA,2425,2367,-860,6037,4981,-1808,-1568,11155.5,228,2250,NA,1.66%,1.60%,-0.58%,3.93%,3.14%,-1.15%,-1.01%,6.29%,0.13%,1.25%,-1.18%,0.66%,1.15%,4.98%,2.02%,0.54%,3.02%,4.76%,0.55%,3.51%,2.30%,154,87,83,24,77,119,80,51,169,79,111,0.523263465,0.512007178,0.526274075,0.51154913,0.501224277,0.515782926,0.557239771,0.55153088,0.58853486,0.632362443,0.614522185,1031,993,1084,1177,1230,1281,1257,1397,1503,1668,2039,233500,260400,273100,315000,357300,358900,369700,370800,416200,541500,595500,56341,54500,54957,59209,56384,56418,61052,67118,56116,62473,66000
"Medford, OR",-184.89,-95.01,389.75,2971.05,1460.55,4006.34,1997.06,3049.06,6957.61,2572.21,2201.73,80957,82983,83130,83875,86745,89701,89787,87799,90818,92554,92225,88954,88787,89057,90250,91469,93135,94146,94943,95323,96290,97221,87672,88663,88864,90069,91223,92692,94091,94703,94219,96134,97082,1282,124,193,181,246,443,55,240,1104,156,139,169483,170853,172762,176087,179242,178636,178756,180402,182562,180049,180229,2364.052761,1367.471398,1873.567489,4734.567552,1525.044298,2392.657055,1725.440982,5298.19739,5540.679189,1451.91306,2330.931524,NA,-167,270,1193,1219,1666,1011,797,190,967,931,NA,-0.19%,0.30%,1.32%,1.33%,1.79%,1.07%,0.84%,0.20%,1.00%,0.96%,-0.21%,-0.11%,0.44%,3.29%,1.60%,4.30%,2.12%,3.21%,7.30%,2.67%,2.26%,107,124,104,44,88,35,104,80,12,104,112,0.510526316,0.554264068,0.5290657,0.545254538,0.5427499,0.536496016,0.460973129,0.474540812,0.471429563,0.550009087,0.524452983,842,887,885,882,933,958,980,1052,1146,1234,1419,199400,199800,222900,243500,259900,291600,293600,318900,368700,425700,431500,2303,2312,3087,2074,NA,2174,2011,2463,NA,NA,2119
"Napa, CA",1731.00,450.39,1345.13,1478.70,2175.01,2913.60,2345.26,3620.71,2485.17,2356.26,1157.20,48224,47483,50516,49619,49561,47848,47315,48107,49978,51024,51167,52006,52275,53280,52202,52846,50792,51089,52055,52497,53817,53532,51982,51732,53166,51715,52205,50548,50723,51804,52181,53681,53261,24,543,114,487,641,244,366,251,316,136,271,113265,114382,116724,116847,117309,117602,111967,111313,111432,109883,109075,2931.236123,2214.516152,1399.357324,1041.671425,2229.481756,3067.810854,3226.197784,4678.43606,2085.02078,2344.815372,659.8593396,NA,269,1005,-1078,644,-2054,297,966,221,1320,-285,NA,0.51%,1.89%,-2.07%,1.22%,-4.04%,0.58%,1.86%,0.42%,2.45%,-0.53%,3.33%,0.86%,2.52%,2.83%,4.12%,5.74%,4.59%,6.96%,4.73%,4.38%,2.16%,27,80,44,52,41,18,55,17,46,53,113,0.479530625,0.526124819,0.539948175,0.529386937,0.473736813,0.526163328,0.571544433,0.474059066,0.55702718,0.491358025,0.514005969,1276,1299,1450,1516,1480,1777,1655,1835,1862,2013,2239,396500,443000,511800,555900,599300,628500,665100,670000,749700,866300,831800,2416,NA,2160,NA,2770,5190,4390,3691,2696,NA,NA
"Spokane-Spokane Valley, WA",-1884.49,-4091.19,-3447.12,57.35,-128.70,669.45,3918.48,6559.13,9368.56,7896.73,4999.68,189004,186452,187602,193118,195806,200949,206192,211724,217920,220879,219231,202931,202177,204450,206599,208506,213425,218568,221885,226690,229903,233168,202240,201414,203008,204536,207412,212524,217622,221138,225952,228545,231966,691,763,1442,2063,1094,901,946,747,738,1358,1202,386206,389948,394471,399138,409623,413012,404683,410990,430946,437491,440541,1810.775728,1474.487532,2455.985253,1732.81127,1606.66562,2092.383412,4798.937871,5130.410554,6194.821064,4303.601142,6450.596779,NA,-754,2273,2149,1907,4919,5143,3317,2402.5,3213,3265,NA,-0.37%,1.11%,1.04%,0.91%,2.30%,2.35%,1.49%,1.06%,1.40%,1.40%,-0.93%,-2.02%,-1.69%,0.03%,-0.06%,0.31%,1.79%,2.96%,4.13%,3.43%,2.14%,137,201,189,127,144,124,111,86,60,81,114,0.521211688,0.506784136,0.494564793,0.49532048,0.473631483,0.478159449,0.473303864,0.432128411,0.483934111,0.532264162,0.493713429,754,769,806,781,839,852,908,934,1044,1187,1279,174900,177600,181600,192400,200200,220800,239000,258500,351600,406800,417000,1151,6400,5293,4949,6145,7851,5902,3954,3642,3734,4497
"Tucson, AZ",-11840.93,-11426.98,-13986.51,-7925.10,-10287.87,-1815.80,210.48,1025.26,8771.76,8461.40,10100.48,386104,391974,389739,395993,400834,403571,402323,410403,433150,442195,450893,426706,430689,431947,433659,440611,438047,439860,447582,458114,468626,477209,424300,428149,428428,429285,438061,433796,437868,444059,455689,465891,474673,2406,2540,3519,4374,2550,4251,1992,3523,2425,2735,2536,807708,815065,820020,827433,837926,843512,828739,836314,849875,871687,876438,6714.160374,4904.1185,4967.183264,5302.145961,6568.977412,7838.70998,14894.60274,13486.77479,9193.580787,9569.19265,10796.0261,NA,3983,1258,1712,6952,-2564,1813,7722,5266,10512,8583,NA,0.92%,0.29%,0.39%,1.58%,-0.59%,0.41%,1.73%,1.15%,2.24%,1.80%,-2.77%,-2.65%,-3.24%,-1.83%,-2.33%,-0.41%,0.05%,0.23%,1.91%,1.81%,2.12%,215,225,241,208,218,149,159,163,130,131,115,0.513093704,0.489279029,0.491816557,0.471732347,0.470939536,0.518552806,0.445740957,0.456460646,0.466735872,0.500085883,0.514801128,784,798,814,824,852,887,887,905,1008,1135,1263,153500,155300,158400,165900,170300,182300,198100,211600,261600,317000,337800,17512,16287,17015,18266,16179,21425,22686,19052,16667,16630,12743
